,Date,Close
0,2012-01-01,5.0
1,2012-01-02,5.0
2,2012-01-03,5.29
3,2012-01-04,5.57
4,2012-01-05,6.65
5,2012-01-06,6.0
6,2012-01-07,6.8
7,2012-01-08,7.0
8,2012-01-09,6.3
9,2012-01-10,7.14
10,2012-01-11,7.0
11,2012-01-12,6.51
12,2012-01-13,6.6
13,2012-01-14,6.3
14,2012-01-15,7.15
15,2012-01-16,7.1
16,2012-01-17,6.0
17,2012-01-18,7.1
18,2012-01-19,6.22
19,2012-01-20,6.95
20,2012-01-21,6.77
21,2012-01-22,6.79
22,2012-01-23,6.52
23,2012-01-24,6.55
24,2012-01-25,6.31
25,2012-01-26,5.5
26,2012-01-27,5.88
27,2012-01-28,4.91
28,2012-01-29,5.5
29,2012-01-30,5.58
30,2012-01-31,5.3
31,2012-02-01,5.88
32,2012-02-02,6.28
33,2012-02-03,6.3
34,2012-02-04,5.94
35,2012-02-05,5.6
36,2012-02-06,5.6
37,2012-02-07,5.69
38,2012-02-08,5.87
39,2012-02-09,5.89
40,2012-02-10,5.88
41,2012-02-11,5.5
42,2012-02-12,5.67
43,2012-02-13,5.79
44,2012-02-14,4.89
45,2012-02-15,4.69
46,2012-02-16,4.51
47,2012-02-17,4.67
48,2012-02-18,4.23
49,2012-02-19,4.38
50,2012-02-20,4.44
51,2012-02-21,4.58
52,2012-02-22,4.51
53,2012-02-23,5.22
54,2012-02-24,4.95
55,2012-02-25,5.0
56,2012-02-26,4.98
57,2012-02-27,5.04
58,2012-02-28,4.88
59,2012-02-29,4.99
60,2012-03-01,5.0
61,2012-03-02,4.79
62,2012-03-03,4.65
63,2012-03-04,4.81
64,2012-03-05,5.06
65,2012-03-06,4.98
66,2012-03-07,4.93
67,2012-03-08,5.01
68,2012-03-09,4.93
69,2012-03-10,4.94
70,2012-03-11,5.0
71,2012-03-12,4.99
72,2012-03-13,5.3
73,2012-03-14,5.27
74,2012-03-15,5.39
75,2012-03-16,5.26
76,2012-03-17,5.42
77,2012-03-18,5.25
78,2012-03-19,4.83
79,2012-03-20,4.79
80,2012-03-21,4.96
81,2012-03-22,4.91
82,2012-03-23,4.78
83,2012-03-24,4.83
84,2012-03-25,4.54
85,2012-03-26,4.73
86,2012-03-27,4.84
87,2012-03-28,4.93
88,2012-03-29,4.84
89,2012-03-30,4.88
90,2012-03-31,4.9
91,2012-04-01,4.89
92,2012-04-02,5.04
93,2012-04-03,4.99
94,2012-04-04,5.01
95,2012-04-05,5.0
96,2012-04-06,4.99
97,2012-04-07,4.7
98,2012-04-08,4.76
99,2012-04-09,4.75
100,2012-04-10,4.8
101,2012-04-11,4.92
102,2012-04-12,4.93
103,2012-04-13,4.93
104,2012-04-14,4.96
105,2012-04-15,4.99
106,2012-04-16,4.98
107,2012-04-17,4.98
108,2012-04-18,5.16
109,2012-04-19,5.13
110,2012-04-20,5.38
111,2012-04-21,5.24
112,2012-04-22,5.17
113,2012-04-23,5.0
114,2012-04-24,5.08
115,2012-04-25,5.14
116,2012-04-26,4.98
117,2012-04-27,5.04
118,2012-04-28,4.91
119,2012-04-29,4.91
120,2012-04-30,5.0
121,2012-05-01,4.97
122,2012-05-02,5.06
123,2012-05-03,5.1
124,2012-05-04,5.07
125,2012-05-05,5.04
126,2012-05-06,5.08
127,2012-05-07,5.05
128,2012-05-08,5.02
129,2012-05-09,5.02
130,2012-05-10,4.87
131,2012-05-11,4.95
132,2012-05-12,4.91
133,2012-05-13,4.94
134,2012-05-14,4.93
135,2012-05-15,4.95
136,2012-05-16,5.04
137,2012-05-17,5.02
138,2012-05-18,5.07
139,2012-05-19,5.07
140,2012-05-20,5.03
141,2012-05-21,5.08
142,2012-05-22,5.03
143,2012-05-23,5.1
144,2012-05-24,5.12
145,2012-05-25,5.08
146,2012-05-26,5.07
147,2012-05-27,5.07
148,2012-05-28,5.07
149,2012-05-29,5.11
150,2012-05-30,5.14
151,2012-05-31,5.17
152,2012-06-01,5.22
153,2012-06-02,5.19
154,2012-06-03,5.19
155,2012-06-04,5.22
156,2012-06-05,5.37
157,2012-06-06,5.41
158,2012-06-07,5.53
159,2012-06-08,5.61
160,2012-06-09,5.48
161,2012-06-10,5.42
162,2012-06-11,5.52
163,2012-06-12,5.71
164,2012-06-13,5.86
165,2012-06-14,5.9
166,2012-06-15,6.42
167,2012-06-16,6.41
168,2012-06-17,6.19
169,2012-06-18,6.06
170,2012-06-19,6.46
171,2012-06-20,6.64
172,2012-06-21,6.64
173,2012-06-22,6.59
174,2012-06-23,6.45
175,2012-06-24,6.4
176,2012-06-25,6.26
177,2012-06-26,6.41
178,2012-06-27,6.49
179,2012-06-28,6.5
180,2012-06-29,6.52
181,2012-06-30,6.61
182,2012-07-01,6.52
183,2012-07-02,6.61
184,2012-07-03,6.44
185,2012-07-04,6.44
186,2012-07-05,6.6
187,2012-07-06,6.59
188,2012-07-07,6.79
189,2012-07-08,6.73
190,2012-07-09,6.94
191,2012-07-10,7.08
192,2012-07-11,7.14
193,2012-07-12,7.59
194,2012-07-13,7.59
195,2012-07-14,7.55
196,2012-07-15,7.57
197,2012-07-16,8.3
198,2012-07-17,8.55
199,2012-07-18,9.0
200,2012-07-19,8.76
201,2012-07-20,8.44
202,2012-07-21,8.74
203,2012-07-22,8.42
204,2012-07-23,8.59
205,2012-07-24,8.61
206,2012-07-25,8.64
207,2012-07-26,8.75
208,2012-07-27,8.83
209,2012-07-28,8.88
210,2012-07-29,8.71
211,2012-07-30,9.0
212,2012-07-31,9.28
213,2012-08-01,9.45
214,2012-08-02,10.44
215,2012-08-03,10.79
216,2012-08-04,10.51
217,2012-08-05,10.71
218,2012-08-06,10.84
219,2012-08-07,10.75
220,2012-08-08,10.99
221,2012-08-09,11.0
222,2012-08-10,11.32
223,2012-08-11,11.38
224,2012-08-12,11.49
225,2012-08-13,11.89
226,2012-08-14,12.25
227,2012-08-15,13.01
228,2012-08-16,13.42
229,2012-08-17,12.5
230,2012-08-18,11.54
231,2012-08-19,8.06
232,2012-08-20,10.05
233,2012-08-21,10.18
234,2012-08-22,9.96
235,2012-08-23,10.02
236,2012-08-24,10.37
237,2012-08-25,10.57
238,2012-08-26,10.31
239,2012-08-27,10.78
240,2012-08-28,11.0
241,2012-08-29,10.78
242,2012-08-30,10.65
243,2012-08-31,10.16
244,2012-09-01,9.91
245,2012-09-02,10.18
246,2012-09-03,10.55
247,2012-09-04,10.36
248,2012-09-05,10.99
249,2012-09-06,11.02
250,2012-09-07,11.03
251,2012-09-08,10.97
252,2012-09-09,10.98
253,2012-09-10,10.95
254,2012-09-11,11.04
255,2012-09-12,11.14
256,2012-09-13,11.3
257,2012-09-14,11.5
258,2012-09-15,11.63
259,2012-09-16,11.75
260,2012-09-17,11.85
261,2012-09-18,11.91
262,2012-09-19,12.32
263,2012-09-20,12.28
264,2012-09-21,12.19
265,2012-09-22,11.97
266,2012-09-23,11.99
267,2012-09-24,11.9
268,2012-09-25,11.75
269,2012-09-26,12.2
270,2012-09-27,12.22
271,2012-09-28,12.28
272,2012-09-29,12.28
273,2012-09-30,12.22
274,2012-10-01,12.14
275,2012-10-02,12.64
276,2012-10-03,12.9
277,2012-10-04,12.57
278,2012-10-05,12.5
279,2012-10-06,12.39
280,2012-10-07,11.71
281,2012-10-08,11.62
282,2012-10-09,11.99
283,2012-10-10,12.24
284,2012-10-11,12.09
285,2012-10-12,11.9
286,2012-10-13,11.85
287,2012-10-14,11.79
288,2012-10-15,11.66
289,2012-10-16,11.92
290,2012-10-17,11.88
291,2012-10-18,11.8
292,2012-10-19,11.67
293,2012-10-20,11.6
294,2012-10-21,11.32
295,2012-10-22,11.49
296,2012-10-23,11.58
297,2012-10-24,11.4
298,2012-10-25,10.55
299,2012-10-26,10.0
300,2012-10-27,10.43
301,2012-10-28,10.54
302,2012-10-29,10.8
303,2012-10-30,10.8
304,2012-10-31,11.0
305,2012-11-01,10.85
306,2012-11-02,10.67
307,2012-11-03,10.66
308,2012-11-04,10.64
309,2012-11-05,10.78
310,2012-11-06,10.74
311,2012-11-07,10.8
312,2012-11-08,10.81
313,2012-11-09,10.8
314,2012-11-10,10.81
315,2012-11-11,10.82
316,2012-11-12,10.87
317,2012-11-13,10.87
318,2012-11-14,10.97
319,2012-11-15,11.05
320,2012-11-16,11.46
321,2012-11-17,11.57
322,2012-11-18,11.51
323,2012-11-19,11.65
324,2012-11-20,11.65
325,2012-11-21,11.67
326,2012-11-22,11.88
327,2012-11-23,12.16
328,2012-11-24,12.25
329,2012-11-25,12.31
330,2012-11-26,12.2
331,2012-11-27,12.07
332,2012-11-28,12.22
333,2012-11-29,12.37
334,2012-11-30,12.43
335,2012-12-01,12.34
336,2012-12-02,12.42
337,2012-12-03,12.6
338,2012-12-04,12.59
339,2012-12-05,13.2
340,2012-12-06,13.45
341,2012-12-07,13.37
342,2012-12-08,13.36
343,2012-12-09,13.29
344,2012-12-10,13.3
345,2012-12-11,13.35
346,2012-12-12,13.49
347,2012-12-13,13.52
348,2012-12-14,13.51
349,2012-12-15,13.38
350,2012-12-16,13.27
351,2012-12-17,13.2
352,2012-12-18,13.13
353,2012-12-19,13.4
354,2012-12-20,13.35
355,2012-12-21,13.2
356,2012-12-22,13.2
357,2012-12-23,13.14
358,2012-12-24,13.23
359,2012-12-25,13.24
360,2012-12-26,13.18
361,2012-12-27,13.2
362,2012-12-28,13.18
363,2012-12-29,13.22
364,2012-12-30,13.2
365,2012-12-31,13.24
366,2013-01-01,13.22
367,2013-01-02,13.09
368,2013-01-03,13.19
369,2013-01-04,13.19
370,2013-01-05,13.15
371,2013-01-06,13.15
372,2013-01-07,13.2
373,2013-01-08,13.5
374,2013-01-09,13.58
375,2013-01-10,14.0
376,2013-01-11,14.0
377,2013-01-12,13.89
378,2013-01-13,13.64
379,2013-01-14,14.1
380,2013-01-15,14.2
381,2013-01-16,14.53
382,2013-01-17,15.36
383,2013-01-18,15.57
384,2013-01-19,15.38
385,2013-01-20,15.5
